Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malaysia,MYS,2020,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,0.2
Malaysia,MYS,2021,Income share held by second 20%,SI.DST.02ND.20,10.2
Malaysia,MYS,2018,Income share held by second 20%,SI.DST.02ND.20,10
Malaysia,MYS,2015,Income share held by second 20%,SI.DST.02ND.20,10.1
Malaysia,MYS,2013,Income share held by second 20%,SI.DST.02ND.20,10.1
Malaysia,MYS,2011,Income share held by second 20%,SI.DST.02ND.20,9.3
Malaysia,MYS,2008,Income share held by second 20%,SI.DST.02ND.20,8.9
Malaysia,MYS,2006,Income share held by second 20%,SI.DST.02ND.20,9.1
Malaysia,MYS,2003,Income share held by second 20%,SI.DST.02ND.20,8.7
Malaysia,MYS,1997,Income share held by second 20%,SI.DST.02ND.20,8.1
Malaysia,MYS,1995,Income share held by second 20%,SI.DST.02ND.20,8.3
Malaysia,MYS,1992,Income share held by second 20%,SI.DST.02ND.20,8.4
Malaysia,MYS,1989,Income share held by second 20%,SI.DST.02ND.20,8.9
Malaysia,MYS,1987,Income share held by second 20%,SI.DST.02ND.20,8.7
Malaysia,MYS,1984,Income share held by second 20%,SI.DST.02ND.20,8.4
Malaysia,MYS,2021,Income share held by third 20%,SI.DST.03RD.20,15
Malaysia,MYS,2018,Income share held by third 20%,SI.DST.03RD.20,14.8
Malaysia,MYS,2015,Income share held by third 20%,SI.DST.03RD.20,14.8
Malaysia,MYS,2013,Income share held by third 20%,SI.DST.03RD.20,14.7
Malaysia,MYS,2011,Income share held by third 20%,SI.DST.03RD.20,14.1
Malaysia,MYS,2008,Income share held by third 20%,SI.DST.03RD.20,13.8
Malaysia,MYS,2006,Income share held by third 20%,SI.DST.03RD.20,13.9
Malaysia,MYS,2003,Income share held by third 20%,SI.DST.03RD.20,13.6
Malaysia,MYS,1997,Income share held by third 20%,SI.DST.03RD.20,12.8
Malaysia,MYS,1995,Income share held by third 20%,SI.DST.03RD.20,13
Malaysia,MYS,1992,Income share held by third 20%,SI.DST.03RD.20,13.1
Malaysia,MYS,1989,Income share held by third 20%,SI.DST.03RD.20,13.5
Malaysia,MYS,1987,Income share held by third 20%,SI.DST.03RD.20,13.3
Malaysia,MYS,1984,Income share held by third 20%,SI.DST.03RD.20,13
Malaysia,MYS,2021,Income share held by fourth 20%,SI.DST.04TH.20,22.1
Malaysia,MYS,2018,Income share held by fourth 20%,SI.DST.04TH.20,22.1
Malaysia,MYS,2015,Income share held by fourth 20%,SI.DST.04TH.20,22
Malaysia,MYS,2013,Income share held by fourth 20%,SI.DST.04TH.20,21.7
Malaysia,MYS,2011,Income share held by fourth 20%,SI.DST.04TH.20,21.8
Malaysia,MYS,2008,Income share held by fourth 20%,SI.DST.04TH.20,21.8
Malaysia,MYS,2006,Income share held by fourth 20%,SI.DST.04TH.20,21.6
Malaysia,MYS,2003,Income share held by fourth 20%,SI.DST.04TH.20,21.4
Malaysia,MYS,1997,Income share held by fourth 20%,SI.DST.04TH.20,20.3
