state,year,total_crimes,crimes_per_10k_population,unemployment_rate
Johor,2016,12941,35.44,3.6
Kedah,2016,7440,35.1,2.9
Kelantan,2016,4548,25.31,3.8
Melaka,2016,3664,40.66,0.9
Negeri Sembilan,2016,4474,40.7,2.7
Pahang,2016,3777,23.22,2.6
Perak,2016,5841,23.53,3.4
Perlis,2016,655,26.1,2.9
Pulau Pinang,2016,6116,35.61,2.1
Sabah,2016,5367,14.11,5.4
Sarawak,2016,6826,24.92,3.3
Selangor,2016,31223,49.63,3.2
Terengganu,2016,2494,21.07,4.2
W.P. Kuala Lumpur,2016,16989,94.93,3.3
W.P. Labuan,2016,216,22.31,7.8
W.P. Putrajaya,2016,838,99.29,1.7
Johor,2017,11307,30.58,3.4
Kedah,2017,6759,31.53,2.8
Kelantan,2017,4520,24.71,3.6
Melaka,2017,3097,33.92,1.0
Negeri Sembilan,2017,3973,35.66,2.8
Pahang,2017,3607,21.9,2.9
Perak,2017,5326,21.36,3.7
Perlis,2017,604,23.97,3.5
Pulau Pinang,2017,5552,31.83,2.1
Sabah,2017,6236,16.17,5.6
Sarawak,2017,6381,23.07,3.0
Selangor,2017,26069,40.86,2.8
Terengganu,2017,2257,18.68,4.5
W.P. Kuala Lumpur,2017,13482,75.18,3.1
W.P. Labuan,2017,204,20.9,8.5
W.P. Putrajaya,2017,255,29.14,1.5
Johor,2018,10338,27.57,3.0
Kedah,2018,6221,28.76,2.9
Kelantan,2018,3987,21.43,4.0
Melaka,2018,2800,30.36,1.1
Negeri Sembilan,2018,3673,32.71,3.0
Pahang,2018,3584,21.53,2.6
Perak,2018,5128,20.48,3.3
Perlis,2018,563,22.21,3.4
Pulau Pinang,2018,5017,28.46,2.2
Sabah,2018,6151,15.78,5.8
Sarawak,2018,5830,20.88,3.2
Selangor,2018,21420,33.08,2.8
Terengganu,2018,1823,14.84,4.8
W.P. Kuala Lumpur,2018,12127,67.75,2.4
W.P. Labuan,2018,266,26.87,7.1
W.P. Putrajaya,2018,211,21.71,1.3
Johor,2019,9870,26.24,2.7
Kedah,2019,5615,25.83,2.8
Kelantan,2019,3545,18.82,4.0
Melaka,2019,2561,27.59,1.1
Negeri Sembilan,2019,3327,29.54,3.1
Pahang,2019,3271,19.57,2.9
Perak,2019,4912,19.58,3.4
Perlis,2019,527,20.75,3.3
Pulau Pinang,2019,5218,29.5,2.0
Sabah,2019,5745,14.71,5.8
Sarawak,2019,6023,21.46,3.1
Selangor,2019,19800,30.43,2.9
Terengganu,2019,1870,15.03,3.5
W.P. Kuala Lumpur,2019,11172,62.68,2.6
W.P. Labuan,2019,252,25.38,6.9
W.P. Putrajaya,2019,246,23.72,1.2
Johor,2020,7350,18.33,3.5
Kedah,2020,4131,19.38,4.2
Kelantan,2020,2531,14.12,4.3
Melaka,2020,1794,17.97,2.2
Negeri Sembilan,2020,2431,20.26,3.8
Pahang,2020,2331,14.65,3.1
Perak,2020,3388,13.57,4.8
Perlis,2020,493,17.3,4.3
Pulau Pinang,2020,3853,22.14,3.5
Sabah,2020,3799,11.11,8.0
Sarawak,2020,5850,23.84,4.3
Selangor,2020,17272,24.69,4.3
Terengganu,2020,2099,18.26,4.1
W.P. Kuala Lumpur,2020,8301,41.88,4.0
W.P. Labuan,2020,185,19.45,7.2
W.P. Putrajaya,2020,131,12.0,1.5
