Year,State,Crime_Category,Crime_Type,Cases,Level
2016,Johor,Assault,Assault,2820,Main
2016,Johor,Property,Property,10121,Main
2016,Johor,Assault,Causing Injury,708,Subcategory
2016,Johor,Assault,Murder,70,Subcategory
2016,Johor,Assault,Rape,274,Subcategory
2016,Johor,Assault,Robbery Gang,1318,Subcategory
2016,Johor,Assault,Robbery Solo,450,Subcategory
2016,Johor,Property,Break In,1475,Subcategory
2016,Johor,Property,Theft Other,2117,Subcategory
2016,Johor,Property,Theft Vehicle,6529,Subcategory
2016,Kedah,Assault,Assault,1239,Main
2016,Kedah,Property,Property,6201,Main
2016,Kedah,Assault,Causing Injury,398,Subcategory
2016,Kedah,Assault,Murder,17,Subcategory
2016,Kedah,Assault,Rape,165,Subcategory
2016,Kedah,Assault,Robbery Gang,463,Subcategory
2016,Kedah,Assault,Robbery Solo,196,Subcategory
2016,Kedah,Property,Break In,1287,Subcategory
2016,Kedah,Property,Theft Other,1181,Subcategory
2016,Kedah,Property,Theft Vehicle,3733,Subcategory
2016,Kelantan,Assault,Assault,543,Main
2016,Kelantan,Property,Property,4005,Main
2016,Kelantan,Assault,Causing Injury,291,Subcategory
2016,Kelantan,Assault,Murder,10,Subcategory
2016,Kelantan,Assault,Rape,144,Subcategory
2016,Kelantan,Assault,Robbery Gang,72,Subcategory
2016,Kelantan,Assault,Robbery Solo,26,Subcategory
2016,Kelantan,Property,Break In,682,Subcategory
2016,Kelantan,Property,Theft Other,674,Subcategory
2016,Kelantan,Property,Theft Vehicle,2649,Subcategory
2016,Melaka,Assault,Assault,1154,Main
2016,Melaka,Property,Property,2510,Main
2016,Melaka,Assault,Causing Injury,193,Subcategory
2016,Melaka,Assault,Murder,13,Subcategory
2016,Melaka,Assault,Rape,60,Subcategory
2016,Melaka,Assault,Robbery Gang,612,Subcategory
2016,Melaka,Assault,Robbery Solo,276,Subcategory
2016,Melaka,Property,Break In,544,Subcategory
2016,Melaka,Property,Theft Other,525,Subcategory
2016,Melaka,Property,Theft Vehicle,1441,Subcategory
2016,Negeri Sembilan,Assault,Assault,1084,Main
2016,Negeri Sembilan,Property,Property,3390,Main
2016,Negeri Sembilan,Assault,Causing Injury,259,Subcategory
2016,Negeri Sembilan,Assault,Murder,17,Subcategory
2016,Negeri Sembilan,Assault,Rape,107,Subcategory
2016,Negeri Sembilan,Assault,Robbery Gang,476,Subcategory
2016,Negeri Sembilan,Assault,Robbery Solo,225,Subcategory
2016,Negeri Sembilan,Property,Break In,1023,Subcategory
2016,Negeri Sembilan,Property,Theft Other,1021,Subcategory
2016,Negeri Sembilan,Property,Theft Vehicle,1346,Subcategory
2016,Pahang,Assault,Assault,651,Main
2016,Pahang,Property,Property,3126,Main
2016,Pahang,Assault,Causing Injury,209,Subcategory
2016,Pahang,Assault,Murder,15,Subcategory
2016,Pahang,Assault,Rape,134,Subcategory
2016,Pahang,Assault,Robbery Gang,234,Subcategory
2016,Pahang,Assault,Robbery Solo,59,Subcategory
2016,Pahang,Property,Break In,719,Subcategory
