state,year,state_year,total_crimes,crimes_per_10k_population
W.P. Putrajaya,2016,W.P. Putrajaya-2016,838,99.29
W.P. Kuala Lumpur,2016,W.P. Kuala Lumpur-2016,16989,94.93
Selangor,2016,Selangor-2016,31223,49.63
Negeri Sembilan,2016,Negeri Sembilan-2016,4474,40.7
Melaka,2016,Melaka-2016,3664,40.66
Pulau Pinang,2016,Pulau Pinang-2016,6116,35.61
Johor,2016,Johor-2016,12941,35.44
Kedah,2016,Kedah-2016,7440,35.1
Perlis,2016,Perlis-2016,655,26.1
Kelantan,2016,Kelantan-2016,4548,25.31
Sarawak,2016,Sarawak-2016,6826,24.92
Perak,2016,Perak-2016,5841,23.53
Pahang,2016,Pahang-2016,3777,23.22
W.P. Labuan,2016,W.P. Labuan-2016,216,22.31
Terengganu,2016,Terengganu-2016,2494,21.07
Sabah,2016,Sabah-2016,5367,14.11
W.P. Kuala Lumpur,2017,W.P. Kuala Lumpur-2017,13482,75.18
Selangor,2017,Selangor-2017,26069,40.86
Negeri Sembilan,2017,Negeri Sembilan-2017,3973,35.66
Melaka,2017,Melaka-2017,3097,33.92
Pulau Pinang,2017,Pulau Pinang-2017,5552,31.83
Kedah,2017,Kedah-2017,6759,31.53
Johor,2017,Johor-2017,11307,30.58
W.P. Putrajaya,2017,W.P. Putrajaya-2017,255,29.14
Kelantan,2017,Kelantan-2017,4520,24.71
Perlis,2017,Perlis-2017,604,23.97
Sarawak,2017,Sarawak-2017,6381,23.07
Pahang,2017,Pahang-2017,3607,21.9
Perak,2017,Perak-2017,5326,21.36
W.P. Labuan,2017,W.P. Labuan-2017,204,20.9
Terengganu,2017,Terengganu-2017,2257,18.68
Sabah,2017,Sabah-2017,6236,16.17
W.P. Kuala Lumpur,2018,W.P. Kuala Lumpur-2018,12127,67.75
Selangor,2018,Selangor-2018,21420,33.08
Negeri Sembilan,2018,Negeri Sembilan-2018,3673,32.71
Melaka,2018,Melaka-2018,2800,30.36
Kedah,2018,Kedah-2018,6221,28.76
Pulau Pinang,2018,Pulau Pinang-2018,5017,28.46
Johor,2018,Johor-2018,10338,27.57
W.P. Labuan,2018,W.P. Labuan-2018,266,26.87
Perlis,2018,Perlis-2018,563,22.21
W.P. Putrajaya,2018,W.P. Putrajaya-2018,211,21.71
Pahang,2018,Pahang-2018,3584,21.53
Kelantan,2018,Kelantan-2018,3987,21.43
Sarawak,2018,Sarawak-2018,5830,20.88
Perak,2018,Perak-2018,5128,20.48
Sabah,2018,Sabah-2018,6151,15.78
Terengganu,2018,Terengganu-2018,1823,14.84
W.P. Kuala Lumpur,2019,W.P. Kuala Lumpur-2019,11172,62.68
Selangor,2019,Selangor-2019,19800,30.43
Negeri Sembilan,2019,Negeri Sembilan-2019,3327,29.54
Pulau Pinang,2019,Pulau Pinang-2019,5218,29.5
Melaka,2019,Melaka-2019,2561,27.59
Johor,2019,Johor-2019,9870,26.24
Kedah,2019,Kedah-2019,5615,25.83
W.P. Labuan,2019,W.P. Labuan-2019,252,25.38
W.P. Putrajaya,2019,W.P. Putrajaya-2019,246,23.72
Sarawak,2019,Sarawak-2019,6023,21.46
Perlis,2019,Perlis-2019,527,20.75
Perak,2019,Perak-2019,4912,19.58
Pahang,2019,Pahang-2019,3271,19.57
Kelantan,2019,Kelantan-2019,3545,18.82
Terengganu,2019,Terengganu-2019,1870,15.03
Sabah,2019,Sabah-2019,5745,14.71
W.P. Kuala Lumpur,2020,W.P. Kuala Lumpur-2020,8301,41.88
Selangor,2020,Selangor-2020,17272,24.69
Sarawak,2020,Sarawak-2020,5850,23.84
Pulau Pinang,2020,Pulau Pinang-2020,3853,22.14
Negeri Sembilan,2020,Negeri Sembilan-2020,2431,20.26
W.P. Labuan,2020,W.P. Labuan-2020,185,19.45
Kedah,2020,Kedah-2020,4131,19.38
Johor,2020,Johor-2020,7350,18.33
Terengganu,2020,Terengganu-2020,2099,18.26
Melaka,2020,Melaka-2020,1794,17.97
Perlis,2020,Perlis-2020,493,17.3
Pahang,2020,Pahang-2020,2331,14.65
Kelantan,2020,Kelantan-2020,2531,14.12
Perak,2020,Perak-2020,3388,13.57
W.P. Putrajaya,2020,W.P. Putrajaya-2020,131,12.0
Sabah,2020,Sabah-2020,3799,11.11
W.P. Kuala Lumpur,2021,W.P. Kuala Lumpur-2021,6176,31.45
Pulau Pinang,2021,Pulau Pinang-2021,3830,22.01
Selangor,2021,Selangor-2021,14907,21.25
Kedah,2021,Kedah-2021,3801,17.67
Sarawak,2021,Sarawak-2021,4294,17.42
Negeri Sembilan,2021,Negeri Sembilan-2021,1835,15.24
Perlis,2021,Perlis-2021,436,15.16
W.P. Labuan,2021,W.P. Labuan-2021,141,14.69
Terengganu,2021,Terengganu-2021,1594,13.62
Melaka,2021,Melaka-2021,1310,13.04
Pahang,2021,Pahang-2021,2056,12.84
Perak,2021,Perak-2021,2925,11.63
Kelantan,2021,Kelantan-2021,2017,11.13
Johor,2021,Johor-2021,4365,10.86
